ROW;COL;TUBE
35;20;TUBE.1
35;22;TUBE.2
35;24;TUBE.3
35;26;TUBE.4
35;28;TUBE.5
35;30;TUBE.6
35;32;TUBE.7
35;34;TUBE.8
35;36;TUBE.9
35;38;TUBE.10
36;21;TUBE.11
36;23;TUBE.12
36;25;TUBE.13
36;27;TUBE.14
36;29;TUBE.15
36;31;TUBE.16
36;33;TUBE.17
36;35;TUBE.18
36;37;TUBE.19
36;39;TUBE.20
37;20;TUBE.21
37;22;TUBE.22
37;24;TUBE.23
37;26;TUBE.24
37;28;TUBE.25
37;30;TUBE.26
37;32;TUBE.27
37;34;TUBE.28
37;36;TUBE.29
37;38;TUBE.30
38;21;TUBE.31
38;23;TUBE.32
38;25;TUBE.33
38;27;TUBE.34
38;29;TUBE.35
38;31;TUBE.36
38;33;TUBE.37
38;35;TUBE.38
38;37;TUBE.39
38;39;TUBE.40
39;20;TUBE.41
39;22;TUBE.42
39;24;TUBE.43
39;26;TUBE.44
39;28;TUBE.45
39;30;TUBE.46
39;32;TUBE.47
39;34;TUBE.48
39;36;TUBE.49
39;38;TUBE.50
40;21;TUBE.51
40;23;TUBE.52
40;25;TUBE.53
40;27;TUBE.54
40;29;TUBE.55
40;31;TUBE.56
40;33;TUBE.57
40;35;TUBE.58
40;37;TUBE.59
40;39;TUBE.60
41;20;TUBE.61
41;22;TUBE.62
41;24;TUBE.63
41;26;TUBE.64
41;28;TUBE.65
41;30;TUBE.66
41;32;TUBE.67
41;34;TUBE.68
41;36;TUBE.69
41;38;TUBE.70
42;21;TUBE.71
42;23;TUBE.72
42;25;TUBE.73
42;27;TUBE.74
42;29;TUBE.75
42;31;TUBE.76
42;33;TUBE.77
42;35;TUBE.78
42;37;TUBE.79
42;39;TUBE.80
43;20;TUBE.81
43;22;TUBE.82
43;24;TUBE.83
43;26;TUBE.84
43;28;TUBE.85
43;30;TUBE.86
43;32;TUBE.87
43;34;TUBE.88
43;36;TUBE.89
43;38;TUBE.90
44;21;TUBE.91
44;23;TUBE.92
44;25;TUBE.93
44;27;TUBE.94
44;29;TUBE.95
44;31;TUBE.96
44;33;TUBE.97
44;35;TUBE.98
44;37;TUBE.99
44;39;TUBE.100
45;20;TUBE.101
45;22;TUBE.102
45;24;TUBE.103
45;26;TUBE.104
45;28;TUBE.105
45;30;TUBE.106
45;32;TUBE.107
45;34;TUBE.108
45;36;TUBE.109
45;38;TUBE.110
46;21;TUBE.111
46;23;TUBE.112
46;25;TUBE.113
46;27;TUBE.114
46;29;TUBE.115
46;31;TUBE.116
46;33;TUBE.117
46;35;TUBE.118
46;37;TUBE.119
47;20;TUBE.120
47;22;TUBE.121
47;24;TUBE.122
47;26;TUBE.123
47;28;TUBE.124
47;30;TUBE.125
47;32;TUBE.126
47;34;TUBE.127
47;36;TUBE.128
47;38;TUBE.129
48;21;TUBE.130
48;23;TUBE.131
48;25;TUBE.132
48;27;TUBE.133
48;29;TUBE.134
48;31;TUBE.135
48;33;TUBE.136
48;35;TUBE.137
48;37;TUBE.138
49;20;TUBE.139
49;22;TUBE.140
49;24;TUBE.141
49;26;TUBE.142
49;28;TUBE.143
49;30;TUBE.144
49;32;TUBE.145
49;34;TUBE.146
49;36;TUBE.147
50;21;TUBE.148
50;23;TUBE.149
50;25;TUBE.150
50;27;TUBE.151
50;29;TUBE.152
50;31;TUBE.153
50;33;TUBE.154
50;35;TUBE.155
50;37;TUBE.156
51;20;TUBE.157
51;22;TUBE.158
51;24;TUBE.159
51;26;TUBE.160
51;28;TUBE.161
51;30;TUBE.162
51;32;TUBE.163
51;34;TUBE.164
51;36;TUBE.165
52;21;TUBE.166
52;23;TUBE.167
52;25;TUBE.168
52;27;TUBE.169
52;29;TUBE.170
52;31;TUBE.171
52;33;TUBE.172
52;35;TUBE.173
52;37;TUBE.174
53;20;TUBE.175
53;22;TUBE.176
53;24;TUBE.177
53;26;TUBE.178
53;28;TUBE.179
53;30;TUBE.180
53;32;TUBE.181
53;34;TUBE.182
53;36;TUBE.183
54;21;TUBE.184
54;23;TUBE.185
54;25;TUBE.186
54;27;TUBE.187
54;29;TUBE.188
54;31;TUBE.189
54;33;TUBE.190
54;35;TUBE.191
55;20;TUBE.192
55;22;TUBE.193
55;24;TUBE.194
55;26;TUBE.195
55;28;TUBE.196
55;30;TUBE.197
55;32;TUBE.198
55;34;TUBE.199
56;21;TUBE.200
56;23;TUBE.201
56;25;TUBE.202
56;27;TUBE.203
56;29;TUBE.204
56;31;TUBE.205
56;33;TUBE.206
56;35;TUBE.207
57;20;TUBE.208
57;22;TUBE.209
57;24;TUBE.210
57;26;TUBE.211
57;28;TUBE.212
57;30;TUBE.213
57;32;TUBE.214
57;34;TUBE.215
58;21;TUBE.216
58;23;TUBE.217
58;25;TUBE.218
58;27;TUBE.219
58;29;TUBE.220
58;31;TUBE.221
58;33;TUBE.222
59;20;TUBE.223
59;22;TUBE.224
59;24;TUBE.225
59;26;TUBE.226
59;28;TUBE.227
59;30;TUBE.228
59;32;TUBE.229
60;21;TUBE.230
60;23;TUBE.231
60;25;TUBE.232
60;27;TUBE.233
60;29;TUBE.234
60;31;TUBE.235
60;33;TUBE.236
61;20;TUBE.237
61;22;TUBE.238
61;24;TUBE.239
61;26;TUBE.240
61;28;TUBE.241
61;30;TUBE.242
61;32;TUBE.243
62;21;TUBE.244
62;23;TUBE.245
62;25;TUBE.246
62;27;TUBE.247
62;29;TUBE.248
62;31;TUBE.249
63;20;TUBE.250
63;22;TUBE.251
63;24;TUBE.252
63;26;TUBE.253
63;28;TUBE.254
63;30;TUBE.255
64;21;TUBE.256
64;23;TUBE.257
64;25;TUBE.258
64;27;TUBE.259
64;29;TUBE.260
65;20;TUBE.261
65;22;TUBE.262
65;24;TUBE.263
65;26;TUBE.264
65;28;TUBE.265
66;21;TUBE.266
66;23;TUBE.267
66;25;TUBE.268
66;27;TUBE.269
67;20;TUBE.270
67;22;TUBE.271
67;24;TUBE.272
67;26;TUBE.273
68;21;TUBE.274
68;23;TUBE.275
69;20;TUBE.276
